year,births,crude_birth_rate_per_1000,natural_increase_count,natural_increase_rate_per_1000,sex_ratio_at_birth,tfr
1970,1006645.0,31.2,748056.0,23.2,109.5,4.53
1971,1024773.0,31.2,787245.0,23.9,109.0,4.54
1972,952780.0,28.4,742709.0,22.2,109.5,4.12
1973,965521.0,28.3,698061.0,20.5,104.6,4.07
1974,922823.0,26.6,674016.0,19.4,109.4,3.77
1975,874030.0,24.8,603373.0,17.1,112.4,3.43
1976,796331.0,22.2,529474.0,14.8,110.7,3.0
1977,825339.0,22.7,576085.0,15.8,104.2,2.99
1978,750728.0,20.3,498430.0,13.5,111.3,2.64
1979,862669.0,23.0,622683.0,16.6,106.4,2.9
1980,862835.0,22.6,585551.0,15.4,105.3,2.82
1981,867409.0,22.4,629928.0,16.3,107.1,2.57
1982,848312.0,21.6,602545.0,15.3,106.8,2.39
1983,769155.0,19.3,514592.0,12.9,107.3,2.06
1984,674793.0,16.7,438348.0,10.8,108.3,1.74
1985,655489.0,16.1,415071.0,10.2,109.4,1.66
1986,636019.0,15.4,396763.0,9.6,111.7,1.58
1987,623831.0,15.0,380327.0,9.1,108.8,1.53
1988,633092.0,15.1,397313.0,9.5,113.2,1.55
1989,639431.0,15.1,402613.0,9.5,111.8,1.56
1990,649738.0,15.2,408122.0,9.5,116.5,1.57
1991,709275.0,16.4,467005.0,10.8,112.4,1.71
1992,730678.0,16.7,494516.0,11.3,113.6,1.76
1993,715826.0,16.0,481569.0,10.8,115.3,1.654
1994,721185.0,16.0,478746.0,10.6,115.2,1.656
1995,715020.0,15.7,472182.0,10.3,113.2,1.634
1996,691226.0,15.0,450077.0,9.8,111.5,1.574
1997,675394.0,14.5,430701.0,9.3,108.2,1.537
1998,641594.0,13.7,395769.0,8.4,110.1,1.464
1999,620668.0,13.2,372934.0,7.9,109.5,1.425
2000,640089.0,13.5,391349.0,8.2,110.1,1.48
2001,559934.0,11.7,316121.0,6.6,109.0,1.309
2002,496911.0,10.3,249387.0,5.2,109.9,1.178
2003,495036.0,10.2,248573.0,5.1,108.6,1.191
2004,476958.0,9.8,230738.0,4.8,108.2,1.164
2005,438707.0,9.0,192833.0,4.0,107.8,1.085
2006,451759.0,9.2,207597.0,4.2,107.6,1.132
2007,496822.0,10.1,250340.0,5.1,106.2,1.259
2008,465892.0,9.4,219779.0,4.4,106.4,1.192
2009,444849.0,9.0,197907.0,4.0,106.4,1.149
2010,470171.0,9.4,214766.0,4.3,106.9,1.226
2011,471265.0,9.4,213869.0,4.3,105.7,1.244
2012,484550.0,9.6,217329.0,4.3,105.7,1.297
2013,436455.0,8.6,170198.0,3.4,105.3,1.187
2014,435435.0,8.6,167743.0,3.3,105.3,1.205
2015,438420.0,8.6,162525.0,3.2,105.3,1.239
2016,406243.0,7.9,125416.0,2.5,105.0,1.172
2017,357771.0,7.0,72237.0,1.4,106.3,1.052
2018,326822.0,6.4,28002.0,0.5,105.4,0.977
2019,302676.0,5.9,7566.0,0.1,105.5,0.918
2020,272337.0,5.3,-32611.0,-0.6,104.8,0.837
2021,260562.0,5.1,-57118.0,-1.1,105.1,0.808
2022,249186.0,4.9,-123753.0,-2.4,104.7,0.778
2023,230028.0,4.5,-122483.0,-2.4,105.1,0.721
2024,238317.0,4.7,-120252.0,-2.4,105.0,0.748
2025,254457.0,5.0,-108931.0,-2.1,105.8,0.8
